Tick,Throttle,Speed,Current,Voltage,Speed1
18153,0, 0, 0, 0, 5682
18203,0, 0, 0, 0, 5682
18253,0, 0, 0, 0, 5682
18305,0, 0, 0, 0, 5682
18355,0, 0, 0, 0, 5682
18406,0, 0, 0, 0, 5682
18456,0, 0, 0, 0, 5682
18506,0, 0, 0, 0, 5682
18558,0, 0, 0, 0, 5682
18608,0, 0, 0, 0, 5682
18658,0, 0, 0, 0, 5682
18708,0, 0, 0, 0, 5682
18758,0, 0, 0, 0, 5682
18810,0, 0, 0, 0, 5682
18860,0, 0, 0, 0, 5682
18910,0, 0, 0, 0, 5682
18960,0, 0, 0, 0, 5682
19010,0, 0, 0, 0, 5682
19062,0, 0, 0, 0, 5682
19112,0, 0, 0, 0, 5682
19162,0, 0, 0, 0, 5682
19212,0, 0, 0, 0, 5682
19262,0, 0, 0, 0, 5682
19314,0, 0, 0, 0, 5682
19364,0, 0, 0, 0, 5682
19414,0, 0, 0, 0, 5682
19464,0, 0, 0, 0, 5682
19514,0, 0, 0, 0, 5682
19567,0, 0, 0, 0, 5682
19617,0, 0, 0, 0, 5682
19667,0, 0, 0, 0, 5682
19717,0, 0, 0, 0, 5682
19767,0, 0, 0, 0, 5682
19819,0, 0, 0, 0, 5682
19869,0, 0, 0, 0, 5682
19919,0, 0, 0, 0, 5682
19969,0, 0, 0, 0, 5682
20019,0, 0, 0, 0, 5682
20071,0, 0, 0, 0, 5682
20121,0, 0, 0, 0, 5682
20171,0, 0, 0, 0, 5682
20221,0, 0, 0, 0, 5682
20271,0, 0, 0, 0, 5682
20323,0, 0, 0, 0, 5682
20373,0, 0, 0, 0, 5682
20423,0, 0, 0, 0, 5682
20473,0, 0, 0, 0, 5682
20523,0, 0, 0, 0, 5682
20575,0, 0, 0, 0, 5682
20625,0, 0, 0, 0, 5682
20676,0, 0, 0, 0, 5682
20726,0, 0, 0, 0, 5682
20776,0, 0, 0, 0, 5682
20828,0, 0, 0, 0, 5682
20878,0, 0, 0, 0, 5682
20928,0, 0, 0, 0, 5682
20978,0, 0, 0, 0, 5682
21028,0, 0, 0, 0, 5682
21080,0, 0, 0, 0, 5682
21130,0, 0, 0, 0, 5682
21180,0, 0, 0, 0, 5682
21230,0, 0, 0, 0, 5682
21280,0, 0, 0, 0, 5682
21332,0, 0, 0, 0, 5682
21382,0, 0, 0, 0, 5682
21432,0, 0, 0, 0, 5682
21482,0, 0, 0, 0, 5682
21532,0, 0, 0, 0, 5682
21584,0, 0, 0, 0, 5682
21634,0, 0, 0, 0, 5682
21684,0, 0, 0, 0, 5682
21734,0, 0, 0, 0, 5682
21785,0, 0, 0, 0, 5682
21837,0, 0, 0, 0, 5682
21887,0, 0, 0, 0, 5682
21937,0, 0, 0, 0, 5682
21987,0, 0, 0, 0, 5682
22037,0, 0, 0, 0, 5682
22089,0, 0, 0, 0, 5682
22139,0, 0, 0, 0, 5682
22189,0, 0, 0, 0, 5682
22239,0, 0, 0, 0, 5682
22289,0, 0, 0, 0, 5682
22341,0, 0, 0, 0, 5682
22391,0, 0, 0, 0, 5682
22441,0, 0, 0, 0, 5682
22491,0, 0, 0, 0, 5682
22541,0, 0, 0, 0, 5682
