Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,365         
Trigger,0           
Start time,2023-05-20,16:57:54
Stop time,2023-05-20,16:58:12
Trigger time,2023-05-20,16:57:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH4,CH 4,M,DC,1-5V,,Off,0.458300,-0.458300,On
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH4,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,On,A,V,C,A1234567890,A1-28,A123456789
126,2023-05-20 16:58:00,250,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
127,2023-05-20 16:58:00,300,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
128,2023-05-20 16:58:00,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
129,2023-05-20 16:58:00,400,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
130,2023-05-20 16:58:00,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
131,2023-05-20 16:58:00,500,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
132,2023-05-20 16:58:00,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
133,2023-05-20 16:58:00,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
134,2023-05-20 16:58:00,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
135,2023-05-20 16:58:00,700,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
136,2023-05-20 16:58:00,750,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
137,2023-05-20 16:58:00,800,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
138,2023-05-20 16:58:00,850,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
139,2023-05-20 16:58:00,900,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
140,2023-05-20 16:58:00,950,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
141,2023-05-20 16:58:01,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
142,2023-05-20 16:58:01,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
143,2023-05-20 16:58:01,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
144,2023-05-20 16:58:01,150,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
145,2023-05-20 16:58:01,200,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
146,2023-05-20 16:58:01,250,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
147,2023-05-20 16:58:01,300,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
148,2023-05-20 16:58:01,350,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
149,2023-05-20 16:58:01,400,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
