Tick,Throttle,Speed,Current,Voltage,Speed
17547,0, 0, 0, 0, 5682
17597,0, 0, 0, 0, 5682
17647,0, 0, 0, 0, 5682
17697,0, 0, 0, 0, 5682
17747,0, 0, 0, 0, 5682
17799,0, 0, 0, 0, 5682
17849,0, 0, 0, 0, 5682
17899,0, 0, 0, 0, 5682
17949,0, 0, 0, 0, 5682
17999,0, 0, 0, 0, 5682
18051,0, 0, 0, 0, 5682
18101,0, 0, 0, 0, 5682
18151,0, 0, 0, 0, 5682
18201,0, 0, 0, 0, 5682
18251,0, 0, 0, 0, 5682
18303,0, 0, 0, 0, 5682
18353,0, 0, 0, 0, 5682
18404,0, 0, 0, 0, 5682
18454,0, 0, 0, 0, 5682
18504,0, 0, 0, 0, 5682
18556,0, 0, 0, 0, 5682
18606,0, 0, 0, 0, 5682
18656,0, 0, 0, 0, 5682
18706,0, 0, 0, 0, 5682
18756,0, 0, 0, 0, 5682
18808,0, 0, 0, 0, 5682
18858,0, 0, 0, 0, 5682
18908,0, 0, 0, 0, 5682
18958,0, 0, 0, 0, 5682
19008,0, 0, 0, 0, 5682
19060,0, 0, 0, 0, 5682
19110,0, 0, 0, 0, 5682
19160,0, 0, 0, 0, 5682
19210,0, 0, 0, 0, 5682
19260,0, 0, 0, 0, 5682
19312,0, 0, 0, 0, 5682
19362,0, 0, 0, 0, 5682
19412,0, 0, 0, 0, 5682
19462,0, 0, 0, 0, 5682
19512,0, 0, 0, 0, 5682
19565,0, 0, 0, 0, 5682
19615,0, 0, 0, 0, 5682
19665,0, 0, 0, 0, 5682
19715,0, 0, 0, 0, 5682
19765,0, 0, 0, 0, 5682
19817,0, 0, 0, 0, 5682
19867,0, 0, 0, 0, 5682
19917,0, 0, 0, 0, 5682
19967,0, 0, 0, 0, 5682
20017,0, 0, 0, 0, 5682
20069,0, 0, 0, 0, 5682
20119,0, 0, 0, 0, 5682
20169,0, 0, 0, 0, 5682
20219,0, 0, 0, 0, 5682
20269,0, 0, 0, 0, 5682
20321,0, 0, 0, 0, 5682
20371,0, 0, 0, 0, 5682
20421,0, 0, 0, 0, 5682
20471,0, 0, 0, 0, 5682
20521,0, 0, 0, 0, 5682
20573,0, 0, 0, 0, 5682
20623,0, 0, 0, 0, 5682
20674,0, 0, 0, 0, 5682
20724,0, 0, 0, 0, 5682
20774,0, 0, 0, 0, 5682
20826,0, 0, 0, 0, 5682
20876,0, 0, 0, 0, 5682
20926,0, 0, 0, 0, 5682
20976,0, 0, 0, 0, 5682
21026,0, 0, 0, 0, 5682
21078,0, 0, 0, 0, 5682
21128,0, 0, 0, 0, 5682
21178,0, 0, 0, 0, 5682
21228,0, 0, 0, 0, 5682
21278,0, 0, 0, 0, 5682
21330,0, 0, 0, 0, 5682
21380,0, 0, 0, 0, 5682
21430,0, 0, 0, 0, 5682
21480,0, 0, 0, 0, 5682
21530,0, 0, 0, 0, 5682
21582,0, 0, 0, 0, 5682
21632,0, 0, 0, 0, 5682
21682,0, 0, 0, 0, 5682
21732,0, 0, 0, 0, 5682
21783,0, 0, 0, 0, 5682
21835,0, 0, 0, 0, 5682
21885,0, 0, 0, 0, 5682
21935,0, 0, 0, 0, 5682
21985,0, 0, 0, 0, 5682
22035,0, 0, 0, 0, 5682
22089,0, 0, 0, 0, 5682
22139,0, 0, 0, 0, 5682
22189,0, 0, 0, 0, 5682
22239,0, 0, 0, 0, 5682
22289,0, 0, 0, 0, 5682
22341,0, 0, 0, 0, 5682
22391,0, 0, 0, 0, 5682
22441,0, 0, 0, 0, 5682
22491,0, 0, 0, 0, 5682
22541,0, 0, 0, 0, 5682
22593,0, 0, 0, 0, 5682
22643,0, 0, 0, 0, 5682
22693,0, 0, 0, 0, 5682
22743,0, 0, 0, 0, 5682
22793,0, 0, 0, 0, 5682
22845,0, 0, 0, 0, 5682
22896,0, 0, 0, 0, 5682
22946,0, 0, 0, 0, 5682
22996,0, 0, 0, 0, 5682
23046,0, 0, 0, 0, 5682
23098,0, 0, 0, 0, 5682
23148,0, 0, 0, 0, 5682
23198,0, 0, 0, 0, 5682
23248,0, 0, 0, 0, 5682
23298,0, 0, 0, 0, 5682
23350,0, 0, 0, 0, 5682
23400,0, 0, 0, 0, 5682
23450,0, 0, 0, 0, 5682
23500,0, 0, 0, 0, 5682
23550,0, 0, 0, 0, 5682
23602,0, 0, 0, 0, 5682
23652,0, 0, 0, 0, 5682
23702,0, 0, 0, 0, 5682
23752,0, 0, 0, 0, 5682
23802,0, 0, 0, 0, 5682
23854,0, 0, 0, 0, 5682
23904,0, 0, 0, 0, 5682
23954,0, 0, 0, 0, 5682
24004,0, 0, 0, 0, 5682
24055,0, 0, 0, 0, 5682
24107,0, 0, 0, 0, 5682
24157,0, 0, 0, 0, 5682
24207,0, 0, 0, 0, 5682
24257,0, 0, 0, 0, 5682
24307,0, 0, 0, 0, 5682
24359,0, 0, 0, 0, 5682
24409,0, 0, 0, 0, 5682
24459,0, 0, 0, 0, 5682
24509,0, 0, 0, 0, 5682
24559,0, 0, 0, 0, 5682
24611,0, 0, 0, 0, 5682
24661,0, 0, 0, 0, 5682
24711,0, 0, 0, 0, 5682
24761,0, 0, 0, 0, 5682
24811,0, 0, 0, 0, 5682
24863,0, 0, 0, 0, 5682
24913,0, 0, 0, 0, 5682
24963,0, 0, 0, 0, 5682
25013,0, 0, 0, 0, 5682
25063,0, 0, 0, 0, 5682
25115,0, 0, 0, 0, 5682
25166,0, 0, 0, 0, 5682
25216,0, 0, 0, 0, 5682
25266,0, 0, 0, 0, 5682
25316,0, 0, 0, 0, 5682
25368,0, 0, 0, 0, 5682
25418,0, 0, 0, 0, 5682
25468,0, 0, 0, 0, 5682
25518,0, 0, 0, 0, 5682
25568,0, 0, 0, 0, 5682
25620,0, 0, 0, 0, 5682
25670,0, 0, 0, 0, 5682
25720,0, 0, 0, 0, 5682
25770,0, 0, 0, 0, 5682
25820,0, 0, 0, 0, 5682
25872,0, 0, 0, 0, 5682
25924,0, 0, 0, 0, 5682
25974,0, 0, 0, 0, 5682
26024,0, 0, 0, 0, 5682
26074,0, 0, 0, 0, 5682
26124,0, 0, 0, 0, 5682
26176,0, 0, 0, 0, 5682
26226,0, 0, 0, 0, 5682
26277,0, 0, 0, 0, 5682
26327,0, 0, 0, 0, 5682
26377,0, 0, 0, 0, 5682
26429,0, 0, 0, 0, 5682
26479,0, 0, 0, 0, 5682
26529,0, 0, 0, 0, 5682
26579,0, 0, 0, 0, 5682
26629,0, 0, 0, 0, 5682
26681,0, 0, 0, 0, 5682
26731,0, 0, 0, 0, 5682
26781,0, 0, 0, 0, 5682
26831,0, 0, 0, 0, 5682
26881,0, 0, 0, 0, 5682
26933,0, 0, 0, 0, 5682
26983,0, 0, 0, 0, 5682
27033,0, 0, 0, 0, 5682
27083,0, 0, 0, 0, 5682
27133,0, 0, 0, 0, 5682
27185,0, 0, 0, 0, 5682
27235,0, 0, 0, 0, 5682
27285,0, 0, 0, 0, 5682
27335,0, 0, 0, 0, 5682
27385,0, 0, 0, 0, 5682
27440,0, 0, 0, 0, 5682
27490,0, 0, 0, 0, 5682
